date,newticket,closedticket,reopenedticket,batchmodify,changeset,milestone,wiki
2022-03-29,759,599,121,2,0,0,0
2021-12-28,492,480,72,1,545,1,0
2021-09-28,640,531,119,2,610,3,0
2021-06-29,606,621,75,6,646,2,0
2021-03-30,746,736,109,6,707,3,0
2020-12-29,766,971,115,1,842,4,0
2020-09-29,894,954,126,8,829,2,0
2020-06-30,763,685,101,3,698,5,1
2020-03-31,629,694,109,6,519,1,0
2019-12-31,909,763,108,4,651,4,0
2019-10-01,542,818,82,5,783,2,0
2019-07-02,860,966,102,8,486,3,0
2019-04-02,969,1009,131,5,725,3,1
2019-01-01,777,685,217,15,710,4,0
2018-10-02,517,370,87,0,281,2,0
2018-07-03,817,500,92,0,429,1,55
2018-04-03,668,577,116,6,534,4,0
2018-01-02,928,729,107,7,706,3,0
2017-10-03,840,745,100,6,719,2,0
2017-07-04,877,669,105,6,625,3,2
2017-04-04,904,697,134,4,710,2,0
2017-01-03,1223,1005,158,11,939,1,0
2016-10-04,934,777,98,7,746,2,4
2016-07-05,858,868,137,5,820,5,0
2016-04-05,993,861,128,2,981,2,0
2016-01-05,1140,1320,201,9,1292,2,0
2015-10-06,1263,1981,263,5,1769,4,1
2015-07-07,986,974,142,10,1046,6,0
2015-04-07,992,1066,153,4,1010,1,0
2015-01-06,1037,1247,194,10,1215,2,1
2014-10-07,1058,996,175,6,809,2,0
2014-07-08,1039,980,146,7,977,3,0
2014-04-08,928,1428,168,9,1146,3,5
2014-01-07,1245,1002,126,14,1180,3,1
2013-10-08,826,1526,154,5,1146,2,0
2013-07-09,701,655,74,6,726,1,56
2013-04-09,865,726,100,6,727,1,0
2013-01-08,1007,1039,169,9,1253,2,0
2012-10-09,934,982,164,8,1072,1,1
2012-07-10,798,760,123,5,1070,4,0
2012-04-10,614,552,75,5,871,0,0
2012-01-10,888,852,122,9,822,3,0
2011-10-11,820,712,108,3,589,0,0
2011-07-12,971,790,133,5,834,5,1
2011-04-12,926,819,171,2,392,3,0
2011-01-11,1089,1334,224,5,1493,3,2
2010-10-12,802,445,117,1,365,1,0
2010-07-13,1311,1290,229,9,1348,1,0
2010-04-13,1109,1181,189,5,1376,2,0
2010-01-12,931,920,146,2,731,4,0
2009-10-13,541,377,81,1,324,3,0
2009-07-14,873,1497,232,1,796,4,2
2009-04-14,686,607,104,6,582,1,2
2009-01-13,964,1107,163,6,1178,1,0
2008-10-14,571,628,114,7,838,2,3
2008-07-15,575,517,77,4,663,2,0
2008-04-15,1064,1046,183,6,1119,2,2
2008-01-15,459,401,58,3,463,2,0
2007-10-16,569,597,97,1,501,4,0
2007-07-17,490,459,111,0,526,2,0
2007-04-17,559,736,129,4,526,7,7
2007-01-16,340,480,61,1,353,2,0
2006-10-17,302,467,54,4,382,0,45
2006-07-18,288,228,37,0,308,0,41
2006-04-18,364,306,33,4,262,0,2
2006-01-17,532,539,57,3,496,0,3
2005-10-18,252,161,8,3,227,0,1
2005-07-19,257,137,2,0,175,0,2
2005-04-19,530,548,0,0,450,0,33
2005-01-18,304,285,0,17,284,0,0
2004-10-19,190,184,0,8,352,0,0
2004-07-20,170,99,0,2,358,0,0
